GEOID,year,species,head_count,mean_density,cell_count
48455,2015,5_Bf_2015_Da,,,0
48477,2015,5_Bf_2015_Da,,,0
48341,2015,5_Bf_2015_Da,,,0
48155,2015,5_Bf_2015_Da,,,0
49057,2015,5_Bf_2015_Da,,,0
49051,2015,5_Bf_2015_Da,,,0
49013,2015,5_Bf_2015_Da,,,0
49017,2015,5_Bf_2015_Da,,,0
51087,2015,5_Bf_2015_Da,,,0
51187,2015,5_Bf_2015_Da,,,0
51015,2015,5_Bf_2015_Da,,,0
51037,2015,5_Bf_2015_Da,,,0
51121,2015,5_Bf_2015_Da,,,0
51019,2015,5_Bf_2015_Da,,,0
51155,2015,5_Bf_2015_Da,,,0
51109,2015,5_Bf_2015_Da,,,0
51137,2015,5_Bf_2015_Da,,,0
51091,2015,5_Bf_2015_Da,,,0
53041,2015,5_Bf_2015_Da,,,0
53065,2015,5_Bf_2015_Da,0.0,0.0,9
53017,2015,5_Bf_2015_Da,,,0
54109,2015,5_Bf_2015_Da,,,0
54041,2015,5_Bf_2015_Da,,,0
54001,2015,5_Bf_2015_Da,,,0
55111,2015,5_Bf_2015_Da,,,0
55035,2015,5_Bf_2015_Da,,,0
60010,2015,5_Bf_2015_Da,,,0
69110,2015,5_Bf_2015_Da,,,0
72115,2015,5_Bf_2015_Da,,,0
72141,2015,5_Bf_2015_Da,,,0
72023,2015,5_Bf_2015_Da,,,0
72017,2015,5_Bf_2015_Da,,,0
72037,2015,5_Bf_2015_Da,,,0
78020,2015,5_Bf_2015_Da,,,0
31005,2015,5_Bf_2015_Da,,,0
38007,2015,5_Bf_2015_Da,,,0
09110,2015,5_Bf_2015_Da,,,0
10003,2015,5_Bf_2015_Da,,,0
10005,2015,5_Bf_2015_Da,,,0
11001,2015,5_Bf_2015_Da,,,0
12075,2015,5_Bf_2015_Da,,,0
12057,2015,5_Bf_2015_Da,,,0
12009,2015,5_Bf_2015_Da,,,0
12113,2015,5_Bf_2015_Da,,,0
12131,2015,5_Bf_2015_Da,,,0
12029,2015,5_Bf_2015_Da,,,0
12073,2015,5_Bf_2015_Da,,,0
12079,2015,5_Bf_2015_Da,,,0
02130,2015,5_Bf_2015_Da,0.0,0.0,12
02050,2015,5_Bf_2015_Da,,,0
13049,2015,5_Bf_2015_Da,,,0
13215,2015,5_Bf_2015_Da,,,0
13105,2015,5_Bf_2015_Da,,,0
02282,2015,5_Bf_2015_Da,0.0,0.0,33
13103,2015,5_Bf_2015_Da,,,0
16059,2015,5_Bf_2015_Da,,,0
16069,2015,5_Bf_2015_Da,,,0
